,title,movieId,genres,movie_year,title_only,genres_single
0,The Martian (2015),134130,Adventure|Drama|Sci-Fi,2015.0,The Martian,Adventure
0,The Martian (2015),134130,Adventure|Drama|Sci-Fi,2015.0,The Martian,Drama
0,The Martian (2015),134130,Adventure|Drama|Sci-Fi,2015.0,The Martian,Sci-Fi
1,Deadpool (2016),122904,Action|Adventure|Comedy|Sci-Fi,2016.0,Deadpool,Action
1,Deadpool (2016),122904,Action|Adventure|Comedy|Sci-Fi,2016.0,Deadpool,Adventure
1,Deadpool (2016),122904,Action|Adventure|Comedy|Sci-Fi,2016.0,Deadpool,Comedy
1,Deadpool (2016),122904,Action|Adventure|Comedy|Sci-Fi,2016.0,Deadpool,Sci-Fi
2,Mad Max: Fury Road (2015),122882,Action|Adventure|Sci-Fi|Thriller,2015.0,Mad Max: Fury Road,Action
2,Mad Max: Fury Road (2015),122882,Action|Adventure|Sci-Fi|Thriller,2015.0,Mad Max: Fury Road,Adventure
2,Mad Max: Fury Road (2015),122882,Action|Adventure|Sci-Fi|Thriller,2015.0,Mad Max: Fury Road,Sci-Fi
2,Mad Max: Fury Road (2015),122882,Action|Adventure|Sci-Fi|Thriller,2015.0,Mad Max: Fury Road,Thriller
3,Inside Out (2015),134853,Adventure|Animation|Children|Comedy|Drama|Fantasy,2015.0,Inside Out,Adventure
3,Inside Out (2015),134853,Adventure|Animation|Children|Comedy|Drama|Fantasy,2015.0,Inside Out,Animation
3,Inside Out (2015),134853,Adventure|Animation|Children|Comedy|Drama|Fantasy,2015.0,Inside Out,Children
3,Inside Out (2015),134853,Adventure|Animation|Children|Comedy|Drama|Fantasy,2015.0,Inside Out,Comedy
3,Inside Out (2015),134853,Adventure|Animation|Children|Comedy|Drama|Fantasy,2015.0,Inside Out,Drama
3,Inside Out (2015),134853,Adventure|Animation|Children|Comedy|Drama|Fantasy,2015.0,Inside Out,Fantasy
4,Ex Machina (2015),115713,Drama|Sci-Fi|Thriller,2015.0,Ex Machina,Drama
4,Ex Machina (2015),115713,Drama|Sci-Fi|Thriller,2015.0,Ex Machina,Sci-Fi
4,Ex Machina (2015),115713,Drama|Sci-Fi|Thriller,2015.0,Ex Machina,Thriller
5,Star Wars: Episode VII - The Force Awakens (2015),122886,Action|Adventure|Fantasy|Sci-Fi|IMAX,2015.0,Star Wars: Episode VII - The Force Awakens,Action
5,Star Wars: Episode VII - The Force Awakens (2015),122886,Action|Adventure|Fantasy|Sci-Fi|IMAX,2015.0,Star Wars: Episode VII - The Force Awakens,Adventure
5,Star Wars: Episode VII - The Force Awakens (2015),122886,Action|Adventure|Fantasy|Sci-Fi|IMAX,2015.0,Star Wars: Episode VII - The Force Awakens,Fantasy
5,Star Wars: Episode VII - The Force Awakens (2015),122886,Action|Adventure|Fantasy|Sci-Fi|IMAX,2015.0,Star Wars: Episode VII - The Force Awakens,Sci-Fi
5,Star Wars: Episode VII - The Force Awakens (2015),122886,Action|Adventure|Fantasy|Sci-Fi|IMAX,2015.0,Star Wars: Episode VII - The Force Awakens,IMAX
6,Arrival (2016),164179,Sci-Fi,2016.0,Arrival,Sci-Fi
7,Kingsman: The Secret Service (2015),119145,Action|Adventure|Comedy|Crime,2015.0,Kingsman: The Secret Service,Action
7,Kingsman: The Secret Service (2015),119145,Action|Adventure|Comedy|Crime,2015.0,Kingsman: The Secret Service,Adventure
7,Kingsman: The Secret Service (2015),119145,Action|Adventure|Comedy|Crime,2015.0,Kingsman: The Secret Service,Comedy
7,Kingsman: The Secret Service (2015),119145,Action|Adventure|Comedy|Crime,2015.0,Kingsman: The Secret Service,Crime
8,Zootopia (2016),152081,Action|Adventure|Animation|Children|Comedy,2016.0,Zootopia,Action
8,Zootopia (2016),152081,Action|Adventure|Animation|Children|Comedy,2016.0,Zootopia,Adventure
8,Zootopia (2016),152081,Action|Adventure|Animation|Children|Comedy,2016.0,Zootopia,Animation
8,Zootopia (2016),152081,Action|Adventure|Animation|Children|Comedy,2016.0,Zootopia,Children
8,Zootopia (2016),152081,Action|Adventure|Animation|Children|Comedy,2016.0,Zootopia,Comedy
9,"Big Short, The (2015)",148626,Drama,2015.0,"Big Short, The",Drama
10,The Revenant (2015),139385,Adventure|Drama,2015.0,The Revenant,Adventure
10,The Revenant (2015),139385,Adventure|Drama,2015.0,The Revenant,Drama
11,Avengers: Age of Ultron (2015),122892,Action|Adventure|Sci-Fi,2015.0,Avengers: Age of Ultron,Action
11,Avengers: Age of Ultron (2015),122892,Action|Adventure|Sci-Fi,2015.0,Avengers: Age of Ultron,Adventure
11,Avengers: Age of Ultron (2015),122892,Action|Adventure|Sci-Fi,2015.0,Avengers: Age of Ultron,Sci-Fi
12,Rogue One: A Star Wars Story (2016),166528,Action|Adventure|Fantasy|Sci-Fi,2016.0,Rogue One: A Star Wars Story,Action
12,Rogue One: A Star Wars Story (2016),166528,Action|Adventure|Fantasy|Sci-Fi,2016.0,Rogue One: A Star Wars Story,Adventure
12,Rogue One: A Star Wars Story (2016),166528,Action|Adventure|Fantasy|Sci-Fi,2016.0,Rogue One: A Star Wars Story,Fantasy
12,Rogue One: A Star Wars Story (2016),166528,Action|Adventure|Fantasy|Sci-Fi,2016.0,Rogue One: A Star Wars Story,Sci-Fi
13,Logan (2017),168252,Action|Sci-Fi,2017.0,Logan,Action
13,Logan (2017),168252,Action|Sci-Fi,2017.0,Logan,Sci-Fi
14,Guardians of the Galaxy 2 (2017),122918,Action|Adventure|Sci-Fi,2017.0,Guardians of the Galaxy 2,Action
14,Guardians of the Galaxy 2 (2017),122918,Action|Adventure|Sci-Fi,2017.0,Guardians of the Galaxy 2,Adventure
14,Guardians of the Galaxy 2 (2017),122918,Action|Adventure|Sci-Fi,2017.0,Guardians of the Galaxy 2,Sci-Fi
15,Doctor Strange (2016),122922,Action|Adventure|Sci-Fi,2016.0,Doctor Strange,Action
15,Doctor Strange (2016),122922,Action|Adventure|Sci-Fi,2016.0,Doctor Strange,Adventure
15,Doctor Strange (2016),122922,Action|Adventure|Sci-Fi,2016.0,Doctor Strange,Sci-Fi
16,Avengers: Infinity War - Part I (2018),122912,Action|Adventure|Sci-Fi,2018.0,Avengers: Infinity War - Part I,Action
16,Avengers: Infinity War - Part I (2018),122912,Action|Adventure|Sci-Fi,2018.0,Avengers: Infinity War - Part I,Adventure
16,Avengers: Infinity War - Part I (2018),122912,Action|Adventure|Sci-Fi,2018.0,Avengers: Infinity War - Part I,Sci-Fi
17,Ant-Man (2015),122900,Action|Adventure|Sci-Fi,2015.0,Ant-Man,Action
17,Ant-Man (2015),122900,Action|Adventure|Sci-Fi,2015.0,Ant-Man,Adventure
