,title,movieId,genres,movie_year,title_only,userId,tag,timestamp
0,The Martian (2015),134130,Adventure|Drama|Sci-Fi,2015.0,The Martian,7082,mars,1553637106
1,The Martian (2015),134130,Adventure|Drama|Sci-Fi,2015.0,The Martian,7082,overrated,1553637089
2,The Martian (2015),134130,Adventure|Drama|Sci-Fi,2015.0,The Martian,7082,scientific,1553637097
3,The Martian (2015),134130,Adventure|Drama|Sci-Fi,2015.0,The Martian,7082,space,1553637094
4,The Martian (2015),134130,Adventure|Drama|Sci-Fi,2015.0,The Martian,7082,Survival Instinct,1553637103
5,Arrival (2016),164179,Sci-Fi,2016.0,Arrival,7082,alien contact,1553627786
6,Arrival (2016),164179,Sci-Fi,2016.0,Arrival,7082,aliens,1553627633
7,Arrival (2016),164179,Sci-Fi,2016.0,Arrival,7082,beautiful visuals,1553627627
8,Arrival (2016),164179,Sci-Fi,2016.0,Arrival,7082,Cerebral Sci-Fi,1553627680
9,Arrival (2016),164179,Sci-Fi,2016.0,Arrival,7082,Cerebral Science-Fiction,1553627778
10,Arrival (2016),164179,Sci-Fi,2016.0,Arrival,7082,cinematography,1553627645
11,Arrival (2016),164179,Sci-Fi,2016.0,Arrival,7082,communication,1553627676
12,Arrival (2016),164179,Sci-Fi,2016.0,Arrival,7082,concept,1553627665
13,Arrival (2016),164179,Sci-Fi,2016.0,Arrival,7082,Denis Villeneuve,1553627642
14,Arrival (2016),164179,Sci-Fi,2016.0,Arrival,7082,excellent soundtracks,1553627770
15,Arrival (2016),164179,Sci-Fi,2016.0,Arrival,7082,existential,1553627774
16,Arrival (2016),164179,Sci-Fi,2016.0,Arrival,7082,extraterrestrial,1553627653
17,Arrival (2016),164179,Sci-Fi,2016.0,Arrival,7082,first contact,1553627640
18,Arrival (2016),164179,Sci-Fi,2016.0,Arrival,7082,Intelligent Sc-Fi,1553627683
19,Arrival (2016),164179,Sci-Fi,2016.0,Arrival,7082,linguistics,1553627622
20,Arrival (2016),164179,Sci-Fi,2016.0,Arrival,7082,mother daughter relationship,1553627789
21,Arrival (2016),164179,Sci-Fi,2016.0,Arrival,7082,nonlinear,1553627745
22,Arrival (2016),164179,Sci-Fi,2016.0,Arrival,7082,nonlinear timeline,1553627631
23,Arrival (2016),164179,Sci-Fi,2016.0,Arrival,7082,plot holes,1553627720
